"행정구역별(시군구)","성별","연령별","시점",일반가구원,가구주,가구주의 배우자,자녀,자녀의 배우자,가구주의 부모,배우자의 부모,손자녀 그 배우자,친손자녀·그 배우자,외손자녀·그 배우자,증손자녀·그 배우자,조부모,형제자매·그 배우자,형제자매의 자녀·그 배우자,부모의 형제자매·그 배우자,기타 친·인척,기타 동거인
"전국","계","55~59세","2018",4187673,2445001,1414583,69276,13049,117700,14908,-,X,X,X,16,60931,674,5136,3623,42769
"전국","계","55~59세","2019",4140190,2419951,1393093,72433,12875,112838,12470,-,6,6,X,14,61775,719,5023,3530,45457
"전국","계","55~59세","2020",4064377,2389072,1358080,73371,11351,109034,9512,8,-,-,X,10,59055,671,4782,3298,46133
"전국","계","55~59세","2021",3958355,2339843,1300629,75579,10589,107799,7475,8,-,-,X,10,59024,709,5118,3258,48314
"전국","계","55~59세","2022",3942578,2327633,1293903,81459,10791,103650,6309,5,-,-,X,11,60943,811,5226,3244,48593
"전국","계","55~59세","2023",4021368,2376017,1311114,91574,11296,100761,5765,8,-,-,X,10,65691,986,5187,3457,49502
"전국","계","55~59세","2024",4147758,2448991,1351002,103276,11973,95832,4454,7,-,-,X,X,70344,1193,5183,3537,51963
"전국","계","60~64세","2015",2741704,1602550,894485,17065,3916,141320,31907,-,X,X,X,103,25994,229,2951,2669,18513
"전국","계","60~64세","2016",2993155,1755374,970882,20793,4512,147425,33334,-,X,X,X,94,30785,286,3318,2787,23562
"전국","계","60~64세","2017",3156104,1856713,1021242,23443,4868,148835,32582,-,X,X,X,98,34107,344,3682,3122,27064
"전국","계","60~64세","2018",3379781,1992462,1089324,26816,5234,155590,31109,-,X,X,X,97,38601,375,4343,3357,32469
"전국","계","60~64세","2019",3578478,2111640,1157290,29905,5718,157900,29353,-,X,X,X,114,41751,435,4687,3490,36193
"전국","계","60~64세","2020",3764489,2228859,1222180,31820,5541,160014,24924,X,-,-,X,114,42589,409,4891,3344,39801
"전국","계","60~64세","2021",3988108,2363903,1289347,34681,5789,172380,22794,5,-,-,X,96,45733,466,5459,3605,43850
"전국","계","60~64세","2022",4067484,2417185,1310069,37833,6075,172254,19892,X,-,-,X,92,47954,536,5671,3648,46272
"전국","계","60~64세","2023",4130986,2469958,1315797,41459,6490,168443,17981,X,-,-,X,66,51937,634,5972,3755,48493
"전국","계","60~64세","2024",4088625,2453198,1298895,43895,6521,157568,14904,X,-,-,X,48,54054,666,5798,3627,49451
